epoch,acc,loss,lr,val_acc,val_loss
0,0.4638799981102347,1.6572251739501953,0.001,0.529599997997284,1.5423879110813141
1,0.6308799996972084,1.2087063482999802,0.001,0.6233000016212463,1.2865789783000947
2,0.7016000032424927,1.0156201754808425,0.001,0.6431000006198883,1.2067116969823837
3,0.7400199998617172,0.8948961637020111,0.001,0.6447000020742416,1.3859252142906189
4,0.766020001411438,0.8130641510486603,0.001,0.6771000003814698,1.1365186059474945
5,0.7875999978780747,0.746091429412365,0.001,0.6915000021457672,1.122680054306984
6,0.8008199971914292,0.7005322442054749,0.001,0.7725999969244003,0.8039013737440109
7,0.8139399976730347,0.652058199107647,0.001,0.7350000011920929,0.9503797703981399
8,0.8253399986028671,0.6245810101032258,0.001,0.706800000667572,1.1564505445957183
9,0.8307999993562698,0.5970179210305214,0.001,0.7627000015974045,0.8833826488256454
10,0.8418799982070923,0.5661011474728584,0.001,0.7988999974727631,0.70130002617836
11,0.8508799995183944,0.5408623948693275,0.001,0.8096999984979629,0.6907839941978454
12,0.8552799993753433,0.5232952359318733,0.001,0.7955999994277954,0.772587485909462
13,0.8599199986457825,0.5103758596777916,0.001,0.7757999992370606,0.8278324794769287
14,0.8640799989700317,0.49499474054574966,0.001,0.7728999990224839,0.8598109769821167
15,0.8677400010824203,0.48594770109653473,0.001,0.8231999957561493,0.6530761867761612
16,0.8749400000572205,0.46833712136745453,0.001,0.7916999977827072,0.8018546333909035
17,0.8761599991321564,0.45439970937371255,0.001,0.788199998140335,0.723669516146183
18,0.8780600000619888,0.4475812700092793,0.001,0.8142999958992004,0.7161354431509972
19,0.8823600000143051,0.43550847288966177,0.001,0.8333999973535537,0.6094724470376969
20,0.8862600013017654,0.42831377720832825,0.001,0.830699999332428,0.6064538696408271
21,0.8863799992799759,0.42271051585674285,0.001,0.8243999975919724,0.6377027022838593
22,0.892860000371933,0.40518318313360213,0.001,0.8450999969244003,0.5789134350419044
23,0.894620001912117,0.397174595117569,0.001,0.8153000003099442,0.7175944209098816
24,0.8955800026655197,0.39542158123850824,0.001,0.854799998998642,0.5513052833080292
25,0.895940000653267,0.3938926418423653,0.001,0.8087999975681305,0.7004555004835129
26,0.9002200034856797,0.3840787469148636,0.001,0.8438999980688096,0.5981358626484871
27,0.9022200016975402,0.3768990116715431,0.001,0.830399996638298,0.6443181249499321
28,0.9035400027036666,0.3680638553798199,0.001,0.8540000003576279,0.5955833253264428
29,0.9048000000715256,0.36381442058086394,0.001,0.8563999998569488,0.5628443217277527
30,0.9085400019884109,0.35745384931564333,0.001,0.8403999984264374,0.6027657526731491
31,0.9094600009918213,0.35262568801641464,0.001,0.8348999977111816,0.6768957296013832
32,0.9108600016832352,0.3484671753048897,0.001,0.8531000012159348,0.5554760700464249
33,0.912520002245903,0.34790805098414423,0.001,0.8446999955177307,0.6215806668996811
34,0.9148200016021728,0.34040610072016714,0.001,0.8476999992132187,0.6110832154750824
35,0.9156400024890899,0.33161810380220413,0.001,0.8617999994754791,0.5511382615566254
36,0.9158800011873245,0.33013198351860046,0.001,0.8561000013351441,0.5699797117710114
37,0.9185000030994416,0.3277926294803619,0.001,0.8545000004768372,0.5844281750917435
38,0.919560002565384,0.3213177665770054,0.001,0.8729000002145767,0.49773977741599085
39,0.9212200026512146,0.31959390062093734,0.001,0.8547000014781951,0.5671283438801765
