epoch,acc,loss,lr,val_acc,val_loss
0,0.7725833305964868,0.8064245752493541,0.001,0.7906999957561492,0.7457110923528671
1,0.8497999982039134,0.550387831578652,0.001,0.7921999955177307,0.6849478912353516
2,0.8685500000913938,0.48181545500953993,0.001,0.8057999986410141,0.7098836010694504
3,0.8784833321968715,0.44202765154341855,0.001,0.8868000024557113,0.44321368128061295
4,0.8869166667262713,0.4116909822324912,0.001,0.8569000029563903,0.4823005095124245
5,0.8930833330750465,0.3872343926380078,0.001,0.8382999986410141,0.5951116445660591
6,0.8986500011881192,0.366907262429595,0.001,0.898500000834465,0.3759052351117134
7,0.9006166679660479,0.35182768108944096,0.001,0.8748999989032745,0.4336499321460724
8,0.9039500009020169,0.3398458005736272,0.001,0.8867999976873397,0.39984267503023146
9,0.9043166686097781,0.3316961679359277,0.001,0.8705999994277954,0.42271468192338946
10,0.90903333624204,0.319824865659078,0.001,0.9023000001907349,0.3478310616314411
11,0.9115333349506061,0.30973648570477963,0.001,0.9099000012874603,0.3149893707036972
12,0.9131666680177053,0.3021588729570309,0.001,0.874200000166893,0.4424097171425819
13,0.9140500011046727,0.29920783604184786,0.001,0.9072000056505203,0.32189243495464326
14,0.9141000014543533,0.292778354883194,0.001,0.8985999995470046,0.34647205621004107
15,0.9174000017841657,0.28445585069557033,0.001,0.9043999981880187,0.32427644163370134
16,0.9165166673064232,0.2854655859991908,0.001,0.8861000007390976,0.36152104184031486
17,0.9193833356102308,0.2762822223082185,0.001,0.9085000032186508,0.3224084882438183
18,0.9332333351174991,0.239530581223468,0.0003162278,0.914200000166893,0.28607703015208247
19,0.9346000014742215,0.23325908107062182,0.0003162278,0.9299000012874603,0.24947519913315774
20,0.936833335061868,0.22675573296844959,0.0003162278,0.9247000002861023,0.26533287443220616
21,0.9364333362380663,0.2253432073444128,0.0003162278,0.9304000020027161,0.24545975774526596
22,0.9378166694442431,0.21992137644439935,0.0003162278,0.9213000017404557,0.2682895588874817
23,0.9393166680137316,0.21360728164513906,0.0003162278,0.9339000004529953,0.2334263900667429
24,0.9394833358128866,0.21260292346278825,0.0003162278,0.9349999988079071,0.2303556354343891
25,0.9397500019272168,0.21225681446492672,0.0003162278,0.9184000039100647,0.27624541394412516
26,0.9403666687011719,0.20878940761089326,0.0003162278,0.933100004196167,0.24415648058056832
27,0.9409500020742416,0.20584779649972915,0.0003162278,0.9305000013113022,0.23959406986832618
28,0.9411166666944821,0.20592825616399446,0.0003162278,0.9234000009298324,0.26038285724818705
29,0.942516667842865,0.19971745601544777,0.0003162278,0.9245000016689301,0.26480985328555107
30,0.9424166676402091,0.20121443854024013,0.0003162278,0.9279000037908554,0.24551366217434406
31,0.9479333347082138,0.18545072353134553,0.000100000005,0.9359000015258789,0.22536833375692367
32,0.9499833345413208,0.17912713812043268,0.000100000005,0.9337000012397766,0.23093979887664318
33,0.9514666690429052,0.1778757072115938,0.000100000005,0.9366000020503997,0.22918638408184053
34,0.9510166683793068,0.17617324290176234,0.000100000005,0.939300000667572,0.22086398579180241
35,0.9509666679302852,0.17560679831852516,0.000100000005,0.9367000019550323,0.22500671222805976
36,0.952000001569589,0.17346318966398636,0.000100000005,0.9366000014543533,0.22418809965252876
37,0.9531666678190232,0.169613794721663,0.000100000005,0.9389000016450882,0.22489755354821683
38,0.9530333356062571,0.16941160527368387,0.000100000005,0.9367999988794327,0.2233896131068468
39,0.952800001502037,0.168118817123274,0.000100000005,0.936200003027916,0.22605008490383624
