epoch,acc,loss,lr,val_acc,val_loss
0,0.4972199987769127,1.4640847516059876,0.001,0.5836999979615212,1.2200734204053878
1,0.6381399999260903,1.0858214716911316,0.001,0.5298999950289727,1.5005530285835267
2,0.6985600010156632,0.9177857730388641,0.001,0.5871999996900559,1.4456944459676742
3,0.7400000002384186,0.8041050910353661,0.001,0.7028000032901764,0.9557580101490021
4,0.7690599981546402,0.7227994303107261,0.001,0.6934999996423721,1.0324702596664428
5,0.7931999988555908,0.6552070949077606,0.001,0.6856999999284744,1.0485092031955718
6,0.808959998011589,0.605743543446064,0.001,0.6613999968767166,1.14503540456295
7,0.8235599970817566,0.5625632970929145,0.001,0.7580999994277954,0.8310283946990967
8,0.8358599989414215,0.5278208112120628,0.001,0.7609999996423721,0.8160679683089256
9,0.8435799986124038,0.5044159814715385,0.001,0.8179999953508377,0.5926747643947601
10,0.851620000243187,0.47995824268460274,0.001,0.7568999987840652,0.8539619183540345
11,0.8584599994421005,0.4576090561449528,0.001,0.8272999989986419,0.6252188068628312
12,0.8678799991607666,0.4351999132633209,0.001,0.7591999989748001,0.946377409696579
13,0.871899999499321,0.42412782469391824,0.001,0.7873999994993209,0.721217620074749
14,0.8782999999523163,0.4046898558139801,0.001,0.8332999980449677,0.5873745357990265
15,0.881199999332428,0.39355128759145735,0.001,0.8097000002861023,0.6725651913881302
16,0.8854400010108948,0.37754694801568983,0.001,0.8152999985218048,0.693349304497242
17,0.8899799995422363,0.36621047353744507,0.001,0.788299999833107,0.8032242640852928
18,0.8929599997997284,0.3595454634428024,0.001,0.816399997472763,0.6539414674043655
19,0.8974400020837784,0.344979073792696,0.001,0.8126999986171722,0.656452226638794
20,0.8989200018644333,0.3357286588549614,0.001,0.8385999977588654,0.5421983423829079
21,0.9045400013923645,0.32296214991807937,0.001,0.8106999969482422,0.6780668219923973
22,0.9051400009393692,0.3199281891286373,0.001,0.8480000001192093,0.5443513041734696
23,0.9083400024175644,0.31212388041615485,0.001,0.8030999982357026,0.8205481266975403
24,0.9114600013494492,0.302931663364172,0.001,0.8444999974966049,0.5575579634308815
25,0.9130800014734268,0.29905610513687136,0.001,0.8427999985218048,0.6012653005123139
26,0.9172800019979477,0.2903896881043911,0.001,0.8602000033855438,0.5121991600096226
27,0.9172800022363663,0.2859036639034748,0.001,0.8581000006198883,0.5047568553686141
28,0.9213800015449524,0.27539839965105056,0.001,0.8597999966144562,0.5271534940600395
29,0.9227400017976761,0.27128691437840463,0.001,0.7740999972820282,0.9687113696336747
30,0.9244400020837784,0.2653885761797428,0.001,0.8699999952316284,0.49549557074904443
31,0.9260200018882752,0.26068653535842895,0.001,0.856499999165535,0.5557484298944473
32,0.926680002450943,0.2593701382428408,0.001,0.8365999966859817,0.6010308834910393
33,0.92946000289917,0.25130011048913004,0.001,0.8639000004529953,0.5237176537513732
34,0.9309400020837784,0.2473378106355667,0.001,0.8169999992847443,0.7453141495585441
35,0.932660001039505,0.2419822908192873,0.001,0.8535999983549118,0.5792999425530434
36,0.9343000013828278,0.23429474200308323,0.001,0.8489999997615815,0.6183832076191902
37,0.9564400026798249,0.17502843832969667,0.0003162278,0.9032000011205673,0.36294771030545236
38,0.9619600033760071,0.16020836049318313,0.0003162278,0.9089000004529953,0.3518425786495209
39,0.9617600054740906,0.15579687444865703,0.0003162278,0.8962999975681305,0.4162264534831047
