epoch,acc,loss,lr,val_acc,val_loss
0,0.19800000116229058,2.3726171016693116,0.001,0.2364000001549721,2.2693308901786806
1,0.29300000369548795,2.098337984085083,0.001,0.26370000064373017,2.1559958600997926
2,0.35300000607967374,1.9808210015296936,0.001,0.272399999499321,2.115051016807556
3,0.3979999989271164,1.8604519844055176,0.001,0.3002000017464161,2.053192777633667
4,0.425,1.7875499248504638,0.001,0.2895000003278255,2.100049945116043
5,0.44300000071525575,1.736202645301819,0.001,0.3026000016927719,2.112939491271973
6,0.4939999967813492,1.6255152225494385,0.001,0.33040000185370444,2.07608722448349
7,0.4780000001192093,1.6311148285865784,0.001,0.3499000005424023,1.9713057553768158
8,0.5069999903440475,1.5446718215942383,0.001,0.33919999927282335,2.055800800323486
9,0.5360000044107437,1.502942728996277,0.001,0.34940000116825104,2.152050244808197
10,0.5320000022649765,1.4991948485374451,0.001,0.335500001013279,2.1721747064590455
11,0.5560000002384186,1.4196868181228637,0.001,0.35650000274181365,2.2082453894615175
12,0.5550000101327897,1.3776720643043519,0.001,0.3775000002980232,2.093635392189026
13,0.625,1.323131275177002,0.001,0.3315000027418137,2.3641620409488677
14,0.5979999959468841,1.333109712600708,0.001,0.40579999923706056,2.0344651997089387
15,0.6060000002384186,1.3031756043434144,0.001,0.288700001090765,3.2381270360946655
16,0.6230000019073486,1.259126651287079,0.001,0.36030000016093255,2.2071925020217895
17,0.6190000057220459,1.2621246576309204,0.001,0.3653999999165535,2.2552897369861604
18,0.6830000042915344,1.1505275130271913,0.001,0.33390000224113464,2.500514543056488
19,0.703000009059906,1.1048839569091797,0.001,0.3464000016450882,2.6259792757034304
20,0.6780000030994415,1.1281801640987397,0.001,0.3825,2.2268675708770753
21,0.7450000047683716,1.0260524809360505,0.0003162278,0.401700000166893,2.0885201120376586
22,0.7550000011920929,0.9545530855655671,0.0003162278,0.37420000016689303,2.2122836112976074
23,0.7509999930858612,0.9621227443218231,0.0003162278,0.4131999978423119,1.981056240797043
24,0.8010000050067901,0.8822575092315674,0.0003162278,0.40549999922513963,2.024090027809143
25,0.7810000121593476,0.876215261220932,0.0003162278,0.39620000034570696,2.0577865648269653
26,0.7930000007152558,0.8746406018733979,0.0003162278,0.3706000004708767,2.1904899144172667
27,0.8159999966621398,0.8374977469444275,0.0003162278,0.3985999995470047,2.095230618715286
28,0.7799999952316284,0.8709651708602906,0.0003162278,0.3949999976158142,2.151630939245224
29,0.8270000040531158,0.8081923484802246,0.0003162278,0.3906999997794628,2.1488500094413756
30,0.8199999868869782,0.8142272651195526,0.000100000005,0.3993999978899956,2.0996545135974882
31,0.8360000014305115,0.789842015504837,0.000100000005,0.40909999966621396,2.0379949426651
32,0.8519999980926514,0.7562085032463074,0.000100000005,0.420899997651577,1.987133308649063
33,0.8300000011920929,0.7590178430080414,0.000100000005,0.4187999984622002,1.9753934609889985
34,0.8560000002384186,0.7373869299888611,0.000100000005,0.412399999499321,2.015448522567749
35,0.8550000011920929,0.730976915359497,0.000100000005,0.4131999978423119,2.017968097925186
36,0.8619999945163727,0.7167048037052155,0.000100000005,0.41629999727010725,2.0075309014320375
37,0.8379999995231628,0.7478341639041901,0.000100000005,0.43169999718666074,1.9350414395332336
38,0.8649999976158143,0.7264620661735535,0.000100000005,0.42939999788999555,1.9421228134632111
39,0.8680000007152557,0.6986334443092346,0.000100000005,0.4313999968767166,1.9229338192939758
