epoch,acc,loss,lr,val_acc,val_loss
0,0.5338999995291233,1.4619665694236756,0.001,0.45539999634027484,1.7755461132526398
1,0.682260002374649,1.0483022253513337,0.001,0.544099998474121,1.5485402190685271
2,0.7419599986076355,0.877511244058609,0.001,0.6342000019550323,1.163893576860428
3,0.7813999979496002,0.7632330265641213,0.001,0.6082999980449677,1.303840262889862
4,0.8110399994850158,0.6758372649550438,0.001,0.7440000009536744,0.8931875246763229
5,0.836239997625351,0.601263378560543,0.001,0.7058000016212463,1.032289643883705
6,0.8542199982404709,0.5508971447348595,0.001,0.7755000007152557,0.8071564263105393
7,0.8701800010204315,0.5023740445971488,0.001,0.6996000033617019,1.1350980472564698
8,0.8847600004673004,0.45926624923944476,0.001,0.7573999977111816,0.9241060096025467
9,0.8931400020122529,0.42939061754941943,0.001,0.82299999833107,0.6536020496487618
10,0.9028000015020371,0.4025576972067356,0.001,0.772299998998642,0.8105520939826966
11,0.9135600019693375,0.37486429715156555,0.001,0.7724999988079071,0.9075388821959496
12,0.9180600011348724,0.35533714973926545,0.001,0.7479999995231629,1.0478369879722595
13,0.9248200017213821,0.33628709596395495,0.001,0.711500004529953,1.0941771072149278
14,0.9317800025939942,0.3201405089497566,0.001,0.7898999965190887,0.8633122074604035
15,0.9368200014829635,0.3012939029335976,0.001,0.7240000015497208,1.273878099322319
16,0.977460009932518,0.19857811349630355,0.0003162278,0.8628999984264374,0.5748404887318611
17,0.989820007801056,0.1640657622218132,0.0003162278,0.8512999993562699,0.6523896139860154
18,0.9923400069475175,0.15068303252756596,0.0003162278,0.8508999955654144,0.6386762544512748
19,0.9939000054597854,0.14340736696124076,0.0003162278,0.8103999972343445,0.9713299435377121
20,0.9932200058698654,0.13928613038361073,0.0003162278,0.8476999986171723,0.7309376284480095
21,0.9925400061607361,0.13815506376326084,0.0003162278,0.8469999980926514,0.7083945456147194
22,0.9926000064611435,0.13466504034399987,0.0003162278,0.833599997162819,0.8247591948509216
23,0.9974000022411347,0.11986951008439065,0.000100000005,0.8649999994039536,0.6430733487010002
24,0.9994200005531311,0.11161459726095199,0.000100000005,0.8666000014543533,0.647290610074997
25,0.9994800004959107,0.10942328226566314,0.000100000005,0.8641000020503998,0.6761010900139809
26,0.9995800002813339,0.1073173325508833,0.000100000005,0.8676999998092652,0.6641773328185081
27,0.9996400003433228,0.10529942825436592,0.000100000005,0.8655000013113022,0.6879348582029343
28,0.9995800004005432,0.1038009688705206,0.000100000005,0.866800000667572,0.6759854626655578
29,0.9994800004959107,0.10199906150996685,0.000100000005,0.8644999957084656,0.6919493982195855
30,0.9994400005340576,0.10028463861346244,0.000100000005,0.8596000009775162,0.7146765586733818
31,0.9998200001716614,0.09754875648021698,0.000100000005,0.8604000008106232,0.7477395749092102
32,0.9998000001907349,0.0956293621212244,0.000100000005,0.8634000009298325,0.7254973778128624
33,0.9998800001144409,0.09343121275305748,3.1622778e-05,0.8670999962091446,0.7087760302424431
34,0.9999200000762939,0.09248733113706112,3.1622778e-05,0.8669999992847442,0.7001378414034843
35,0.9999400000572205,0.09166339407861233,3.1622778e-05,0.8661000019311905,0.7055514484643937
36,0.999960000038147,0.0907460727840662,3.1622778e-05,0.8633000004291534,0.7234099343419075
37,0.9999200000762939,0.08975683364272118,3.1622778e-05,0.867299998998642,0.7061303451657295
38,0.9999400000572205,0.08899543170630932,1.0000001e-05,0.867099997997284,0.6970606163144112
39,0.999960000038147,0.08862881883978843,1.0000001e-05,0.8667999982833863,0.6992663019895553
